,course_title,characteristics
10,BSc (Hons) in Computer Science,"Interest/Skills: Computer Science, Programming (Python, Java, C), Artificial Intelligence, Data Structures, Algorithmics, Concurrent Programming, System & Network Administration, Computer Systems and Low Level Techniques, HCI & Usability, Computer Vision & Pattern Recognition, Blockchain Development, Cloud Computing, Wireless & Mobile Technology, Optimization and Deep Learning, Mathematical Concepts, Project Management, Research Methods for Computing and Technology;

Career Aspirations: Computer Engineer, Systems Engineer, Software Developer, Programmer, Chief Technology Officer (CTO), Technical Architect, Application Engineer, Software Architect, Data Warehouse Manager, Applications Development Manager;

Hobbies/Free time Activities: Solving complex programming problems, Developing software applications, Exploring artificial intelligence algorithms, Building and managing computer networks, Experimenting with computer vision and pattern recognition projects, Exploring blockchain technology, Designing and developing cloud applications, Exploring wireless and mobile technologies, Participating in coding competitions and hackathons, Following tech blogs and resources, Exploring optimization and deep learning concepts."
11,BSc (Hons) in Computer Science with a specialism in Data Analytics,"Interest/Skills: Computer Science, Data Analytics, Programming (Python, Java, C), Artificial Intelligence, Data Structures, Concurrent Programming, Data Management, Business Intelligence Systems, Data Mining and Predictive Modelling, Probability & Statistical Modelling, Algorithmics, Real-Time Systems, Behavioral Science and Marketing Analytics, Text Analytics and Sentiment Analysis, Optimisation and Deep Learning, Database Security, Investigating Computer Science, Mathematical Concepts, Project Management, Research Methods for Computing and Technology;

Career Aspirations: Software Tool Developer, Data Analyst, Data Scientist, Data Wrangler/Munger/Miner, Chief Technology Officer (CTO), Data Analytics Manager, Business Process Engineer, Business Analyst Manager, Data Innovation Manager, Business Intelligence Developer, IT Risk Analyst, Advance Analytics Professional, Data Engineer, Business Intelligence Analyst, Machine Learning Scientist, Business Intelligence Solutions Architect, Analytics Manager, Data Visualization Developer;

Hobbies/Free time Activities: Engaging in data analysis projects, Developing software tools, Exploring artificial intelligence concepts, Building and optimizing algorithms, Conducting research in computer science, Experimenting with real-time systems, Analyzing and interpreting data, Creating data visualizations, Exploring new data mining techniques, Participating in data science competitions, Following industry trends and advancements in data analytics, Attending conferences and workshops on data analytics, Collaborating with cross-functional teams on data-driven projects."
12,BSc (Hons) In Computer Science with a specialism in Digital Forensics,"Interest/Skills: Computer Science, Digital Forensics, Programming (Python, Java, C), System Analysis & Design, Mathematical Concepts, Operating Systems & Computer Architecture, Networking, Databases, Entrepreneurship, Data Analysis, Cybersecurity, Ethical Hacking, Intrusion Detection, Penetration Testing, Mobile Forensics, Deep Learning, Legal and Professional Practice in Cyber World, Investigative Skills;

Career Aspirations: Digital Forensics Investigator, Forensic Compliance Investigator, Computer Forensics Analyst, Cyber Defense Forensics Analyst, Cyber Defense Incident Response Analyst, Ethical Hacker / Penetration Tester, Intrusion Detection Analyst, Forensic Analytics Specialist, Secure Applications Engineer, Information Security Analyst / Engineer, Software Developer, Chief Technology Officer (CTO), Chief Information Security Officer (CISO);

Hobbies/Free time Activities: Participating in digital forensics investigations, Practicing ethical hacking techniques, Conducting penetration testing on systems, Analyzing and interpreting forensic data, Keeping up with the latest cybersecurity trends and technologies, Building and securing networks, Exploring deep learning algorithms for intrusion detection, Participating in cybersecurity competitions and capture the flag (CTF) events, Researching and staying updated on legal and ethical issues in the cyber world, Engaging in open-source forensic projects."
13,BSc (Hons) in Computer Science (Cyber Security),"Interest/Skills: Computer Science, Cyber Security, Programming (Python, Java, C), System Analysis & Design, Networking, Databases, Mathematical Concepts, Data Analysis, System Development Methods, Object-Oriented Development, Data Structures, Research Methods for Computing and Technology, Project Management, Venture Building, Security and Forensic Technologies, Computing Theory, Computer Systems & Low Level Techniques, Advanced Software Security, Vulnerability Assessment & Penetration Testing, Deep Learning for Intrusion Detection, Investigations in Cyber Security, Practical CTF Strategies, Cloud Infrastructure & Services, Wireless & Mobile Security, Database Security;

Career Aspirations: Cyber Security Engineer/Architect, Cyber Security Consultant/Specialist, Cyber Security Incident Response Analyst, Security Operations Center (SOC) Analyst, Intrusion Detection Analyst, Cyber Threat Intelligence Advisor, Ethical Hacker/Penetration Tester, Secure Applications Engineer, Information Security Analyst/Engineer, Software Developer, Cyber Security Governance & Compliance Manager, Chief Technology Officer (CTO), Chief Information Security Officer (CISO);

Hobbies/Free time Activities: Engaging in cyber security projects, Participating in Capture the Flag (CTF) competitions, Learning new programming languages and techniques, Exploring vulnerabilities and conducting penetration testing, Keeping up with the latest cyber security news and trends, Experimenting with secure coding practices, Building and securing networks, Exploring machine learning and artificial intelligence in cyber security, Participating in cyber security conferences and workshops, Contributing to open-source security projects."
14,Bachelor of Computer Science (Hons) (Intelligent Systems),"Interest/Skills: Computer Science, Intelligent Systems, Artificial Intelligence, Machine Learning, Fuzzy Logic, Natural Language Processing, Design and Development of AI Systems, Design Paradigms, Algorithms, Software Development, Data Analysis, Networking, Databases, Entrepreneurship, Project Management, Research Methods, Venture Building, Enterprise Programming, Image Processing, Computer Vision, Pattern Recognition, Knowledge Discovery, Big Data Analytics, Object-Oriented Programming, Mobile App Engineering, Internet of Things, Algorithmics, Text Analytics, Sentiment Analysis, Ubiquitous Computing, Critical Issues in Managing IS in Organizations, Ethics and Civilisation, Malay Communication Language, Philosophy and Current Issues, Workplace Professional Skills, Integrity and Anti-corruption, Co-Curriculum.

Career Aspirations: Business Decision Support Engineer, Robotics R&D Engineer, Backend Game Developer, Machine Learning Engineer, Deep Learning Scientist, Artificial Intelligence (AI) Engineer, Algorithm Specialist, Machine Vision Engineer, AI Platform Architect, Artificial Intelligence Analyst, NLP Engineer.

Hobbies/Free time Activities: Engaging in AI research projects, Developing AI algorithms and models, Building intelligent systems, Exploring new AI techniques and technologies, Participating in AI competitions and hackathons, Experimenting with image processing and computer vision projects, Analyzing and interpreting large datasets, Developing mobile applications, Exploring IoT applications, Exploring algorithms and data structures, Analyzing text data and sentiment, Exploring ubiquitous computing concepts, Participating in tech meetups and conferences, Following AI blogs and resources."
15,Bachelor of Arts (Honours) in Industrial Design,"Interest/Skills: Industrial Design, Creative Thinking, Presentation Skills, Trend Analysis, Visual Thinking, Digital Illustration, Design History and Context, Ergonomics, Model Making, Universal Design, Manufacturing Process, Innovation Process, Research Skills, Exhibition Design, Design Futures, Venture Creation;

Career Aspirations: Industrial Designer, Product Designer, Furniture Designer, Transport Designer, Toy Designer, Jewelry Designer, Sustainable Designer, System Designer, UX Designer, Packaging Designer, Shoe Designer, Props Designer, 3D Designer, Surface Designer, Model Maker, Graphic Designer, Interior Designer, Color Specialist, Project Manager, Event Designer/Coordinator;

Hobbies/Free time Activities: Sketching and Drawing, Exploring different art styles and techniques, Visiting art exhibitions and design shows, Researching design trends and innovations, Experimenting with different materials and prototypes, Collaborating with other designers and artists, Participating in design competitions, Creating digital illustrations and visualizations, Exploring sustainable design practices, Keeping up with the latest design blogs and magazines."
16,Bachelor of Arts (Honours) in Visual Effects,"Interest/Skills: Visual Effects, Concept Art, Digital Assets, Film Production, Animation Techniques, Motion Graphics, Digital Compositing, Set Design, CGI Production, Exhibition Design, Creative Project, Illustration, Cinema Film Analysis, Rigging, Sound Design, Design Futures, Innovation Process;

Career Aspirations: 2D Artist, 3D Generalist, Lighting Artist, Animator, Motion Graphics Artist, Digital Compositor, Concept Artist, Texture Artist, VFX Coordinator, Creative Director;

Hobbies/Free time Activities: Creating digital artwork, Watching and analyzing films, Participating in film or animation projects, Experimenting with visual effects techniques, Learning new software and tools for visual effects, Attending art exhibitions and events, Collaborating with other artists and designers, Following industry trends and developments, Exploring different art styles and techniques."
17,Bachelor of Arts (Honours) in Animation,"Interest/Skills: Animation, Design, Illustration, 2D Animation, 3D Animation, Motion Graphics, Film Production, Character Animation, Rigging, Visual Culture, Sound Design, Digital Illustration, Effects & Simulation, Facial Animation & Lip-synching, Animation Techniques for Games, Exhibition Design, Entrepreneurship, Innovation Process, Research Project Report, Design Futures, Venture Creation;

Career Aspirations: 2D Animator, 3D Animator, Concept Artist, Storyboard Artist, 3D Modeller, Production Designer, Look Development Artist, Set Designer, 2D Rigging Artist, 3D Technical Artist, Visual Effect Artist, Motion Graphic Designer, Compositor, Video Editor, Script Writer, Production Coordinator, Animation Director, Producer;

Hobbies/Free time Activities: Drawing and sketching, Watching animated films and series, Creating storyboards and character designs, Experimenting with different animation techniques, Participating in animation competitions or festivals, Attending animation workshops or conferences, Exploring new software and tools for animation, Collaborating with other artists on animation projects, Creating personal animation projects, Following animation blogs and resources."
18,Bachelor of Arts (Honours) in Digital Advertising,"Interest/Skills: Digital Advertising, Advertising Principles, Account Planning, Creative Applications, Production Discipline, Motion Graphics, Digital Illustration, Visual Culture, Marketing Fundamentals, Consumer Behavior, Brand Strategy, Copywriting, Creative Direction, Integrated Marketing Communications, Digital Advertising Analytics, Design, Creativity and Innovation, Project Management, Research, Exhibition Design, Venture Creation;

Career Aspirations: Digital Advertising Executive, Digital Content Creator, Brand Communicator, Marketing Executive, Media Planner, Account Manager, Social Media Executive, Visual Designer, Copywriter, Art Director;

Hobbies/Free time Activities: Creating and designing digital advertisements, Developing marketing campaigns, Analyzing advertising effectiveness, Exploring new advertising trends and technologies, Participating in creative projects and exhibitions, Keeping up with industry news and trends, Collaborating with clients and agencies, Experimenting with visual and graphic design, Writing and editing copy, Managing social media accounts."
19,BA (Hons) in Business Management,"Interest/Skills: Business Management, Accounting, Business Economics, Business Law, Marketing, People Management, Quantitative Skills, Behavioural Science in Organisation, Business Ethics and Governance, Business Research Methods, Delivering Customer Value, Strategic Management, Leadership Theory and Practice, E-Business Management, Critical Thinking in Management, Employee Development, International Culture and Communications, Operations Management, Asian Economics, Entrepreneurship, Managing Change, Managing People and Performance, Managing Finance, Commercial Law, Corporate Finance, Strategic Marketing Planning, Innovation Management and New Product Development;

Career Aspirations: Business Development Manager, Logistic and Supply Chain Manager, Operations Manager, Procurement Manager, Project Manager, Sales and Marketing Manager, Market Researcher, Business Consultant, Business Research Analyst, Entrepreneur, General Administrator;

Hobbies/Free time Activities: Reading business books and articles, Attending business conferences and seminars, Networking with professionals in the industry, Analyzing market trends and consumer behavior, Conducting research on business strategies, Developing business plans and proposals, Participating in case study competitions, Volunteering for business-related projects, Exploring new business opportunities, Keeping up with current business news and developments."
20,BA (Hons) in Business Management with a specialism in E-Business,"Interest/Skills: Business Management, E-Business, Digital Marketing, Operations Management, Entrepreneurship, Strategic Management, Accounting, Business Economics, Business Law, Marketing, People Management, Quantitative Skills, Behavioural Science in Organisation, Business Ethics and Governance, Business Research Methods, Delivering Customer Value, Enterprise Resource Planning, Enabling Technologies for Digital Marketing, Creativity and Innovation, Managing Change, Digital Strategy and Analytics, Financial Management, Multimedia Application, Building Customer Relationships, Integrated Marketing Communications, Retail Marketing Management;

Career Aspirations: New Business Development Manager, E-Business Consultant, Technopreneur, Online Marketing Specialist, Digital Advertising Specialist, Sales and Marketing Manager, Digital Marketing Manager, E-Commerce Specialist, Digital Marketing Analyst, Web Analytics Manager, Social Media Specialist, Marketing Manager;

Hobbies/Free time Activities: Exploring e-business opportunities, Creating and managing internet businesses, Conducting research on e-business issues, Developing digital marketing strategies, Analyzing digital marketing data, Managing online advertising campaigns, Exploring new technologies for digital marketing, Keeping up with the latest trends in e-commerce, Networking with industry professionals, Attending marketing conferences and workshops, Participating in business competitions."
21,BA (Hons) in Business Management with a specialism in Digital Leadership,"Interest/Skills: Business Management, Digital Leadership, Digital Marketing, Digital Strategy and Analytics, E-Business Management, Entrepreneurship, Digital Finance, Critical Thinking in Management, E-Commerce, Contemporary Management, Investigation in Digital Leadership, Digital Execution, Leading Digital Business Transformation, Strategic Management, Asian Economics, Communication Skills, Problem Solving, Creativity, Business Research Methods, Enterprise Resource Planning with SAP Platform, Quantitative Skills, Marketing, Operations Management, Accounting Skills, Business Law, Business Economics, Behavioural Science in Organisation, Business Ethics and Governance;

Career Aspirations: Digital Lead, Business IT Analyst, Digital Transformation Manager, Digital Strategist, Digital Technology Consultant, Digital Designer, E-Entrepreneur, Digital Solutions Leader, Digital Media Specialist, Digital Strategy Manager, Chief Digital Officer;

Hobbies/Free time Activities: Keeping up with digital trends and innovations, Exploring new digital tools and platforms, Developing digital marketing campaigns, Analyzing data and metrics, Participating in digital strategy workshops, Networking with industry professionals, Attending business and technology conferences, Reading books and articles on digital leadership, Experimenting with new digital technologies, Building a personal brand online."
22,BA (Hons) Human Resource Management,"Interest/Skills: Human Resource Management, Management Activities, Problem Solving, Critical Thinking, Communication Skills, Research Skills, Employee Development, Employee Relations, Employment Law, Leadership, HR Analytics, Strategic Management, Finance Management, Change Management, Human Factors Psychology, Corporate Restructuring;

Career Aspirations: Compensation & Benefit Manager, Employee Relations Manager, HR Manager, Performance Management Manager, Public Relations Manager, Recruitment Manager, Training & Development Manager, HR Analyst, HR Consultant, HR Director, Employment Manager, Talent Champion, HR Data Analyst, Compensation Analyst;

Hobbies/Free time Activities: Attending HR conferences and workshops, Networking with HR professionals, Reading HR-related books and articles, Participating in HR case studies and simulations, Conducting research on HR trends and best practices, Volunteering for HR-related projects, Joining HR associations and communities, Keeping up with HR laws and regulations, Mentoring and coaching others in HR practices."
23,BA (Hons) in International Business Management,"Interest/Skills: International Business, Management, Marketing, Accounting, Business Economics, Business Law, Entrepreneurship, Quantitative Skills, Behavioural Science, Business Ethics, Business Research Methods, Finance, Strategic Management, Commercial Law, International Culture & Communications, Operations Management, Asian Economics, Global Marketing, International Human Resource Management, Leadership, Supply Chain Management, E-Business Management, Interactive Marketing, Critical Thinking, Regulatory Policy, Corporate Finance, Global Finance, Managing People and Performance, International Banking & Investment;

Career Aspirations: Corporate Strategist, Global Purchasing Manager, Global Retail Manager, International Marketing Manager, International Operations Manager, Global Marketing Specialist, Global Growth Manager, Business Development Manager, Logistic and Supply Chain Manager, International Relations Manager, Sales and Marketing Manager, International Business Consultant, Business Research Analyst, Entrepreneur;

Hobbies/Free time Activities: Keeping up with global business trends, Networking with professionals in the industry, Participating in international business conferences and events, Learning about different cultures and their impact on business, Conducting market research and analysis, Developing business plans and strategies, Exploring opportunities for international expansion, Building and managing international partnerships, Keeping up with financial markets and trends, Reading business and management books, Engaging in entrepreneurship activities, Volunteering for international organizations."
24,BA (Hons) in Marketing Management,"Interest/Skills: Marketing, Market Research, Digital Marketing, Brand Management, Customer Relationship Management, Marketing Communications, E-commerce, Consumer Behavior, Global Marketing, Strategic Marketing Planning, Leadership, Business Ethics, Business Research Methods, Quantitative Skills, Critical Thinking, Creativity and Innovation, Retail Marketing Management, Integrated Marketing Communications, Sales Management, Product Management;

Career Aspirations: Advertising & Promotions Manager, Marketing Communications Manager, Brand Manager, Customer Service Manager, Marketing Manager, Retail Manager, Sales Manager, Product Manager, Marketing Director, Content Marketing Specialist;

Hobbies/Free time Activities: Keeping up with current marketing trends and strategies, Analyzing consumer behavior and market trends, Developing marketing campaigns and strategies, Conducting market research, Creating and managing social media content, Networking with industry professionals, Attending marketing conferences and workshops, Exploring new marketing tools and technologies, Participating in marketing competitions or case studies, Reading marketing books and blogs."
25,BA (Hons) in Marketing Management with a specialism in Digital Marketing,"Interest/Skills: Marketing, Digital Marketing, Business Management, Brand Management, Customer Relationship Management, Marketing Analytics, E-commerce, Social Media Marketing, Communication Skills, Creative Copywriting, Market Research, Strategic Planning, Web Analytics, Content Management, Sales and Marketing, Mobile Marketing, Search Engine Optimization (SEO), Account Management, Business Ethics and Governance, Innovation Management, Quantitative Skills, International Culture and Communications;

Career Aspirations: Digital Marketing Executive, Social Media Strategist, Digital Marketing Content Writer, Digital Sales and Marketing Manager, Online Business Manager, Mobile Marketing Specialist, Search Engine Optimization (SEO) Specialist, Account Management, Web Analytics Consultant, Web Content Management Analyst, Digital Creative Diagnostics Manager, Digital Marketing Communications Specialist;

Hobbies/Free time Activities: Creating and managing social media campaigns, Writing and editing digital content, Analyzing marketing data and trends, Conducting market research, Developing and implementing marketing strategies, Exploring new digital marketing tools and technologies, Building and managing online communities, Designing and optimizing websites, Creating and managing online advertising campaigns, Participating in marketing conferences and workshops, Following industry blogs and podcasts, Networking with professionals in the marketing field."
26,BACHELOR OF ARTS (HONOURS) IN INTERNATIONAL RELATIONS,"Interest/Skills: International Relations, Global Politics, Political Analysis, Diplomacy, Sustainability and Environmental Politics, Globalisation, Research Methods, Conflict Analysis and Resolution, Foreign Policy Analysis, Comparative Politics, International Organisations, Transnational Organised Crime, Refugees and Immigrants, Sustainable Development Policy, Film Studies and International Relations, Investigative Skills, Communication Skills, Critical Thinking, Teamwork, Independent Judgement, Effective Communication, Self-Reflection;

Career Aspirations: Diplomat, Intelligence Analyst, Political Analyst, Communications Specialist, Researcher, Academician, NGO Worker, Activist, International Organisation Officer, Multinational Corporation Executive, Entrepreneur, Reporter, Policy Officer;

Hobbies/Free time Activities: Participating in Model United Nations conferences, Following global political news and events, Engaging in political debates and discussions, Conducting research on international relations topics, Writing articles or opinion pieces on global issues, Volunteering for NGOs or political campaigns, Learning foreign languages, Traveling and experiencing different cultures, Attending international conferences and seminars, Reading books on international relations and political science, Watching documentaries and films related to global politics."
