question,category,answer
what is the General Do's And Don'ts?,VisaOrImmigration,"1. GENERAL RULES AND REGULATIONS: i. A student must abide by Malaysian law at all times. ii. A student has committed a case of misconduct when He is found guilty of criminal charges by the court. He is involved in any jobs, trades, or the like, on a part-time basis, which is deemed illegal in the Immigration Ordinance 1959 and the Immigration Rules and Regulation 1963 or other laws or that which could affect his studies. iii. A student is to abide by all the rules and regulations that are enforced by the institution. iv. A student must at all times respect the culture, norms, and beliefs or the local. 2. WORK PART TIME APU/APIIT student is allowed to do part-time only under several conditions: i. In 4 Sector ONLY – Restaurant, Petrol Kiosk, Mini Markets and Hotels (excluding singer, masseur, musician, GRO and other activities deemed immoral). ii. Permitted to do part-time work for a maximum of 20 hours per week during semester breaks or any holiday above seven (7) days. iii. NOT PERMITTED to work as a cashier. iv. Permission to work-part time is extendable by the Immigration Malaysia depending on the student’s attendance and academic reports. v. Application form students studying in Private Higher Education Institutions must be submitted by the representative institutions to the Immigration headquarters in Putrajaya. 3. DRUGS AND POISON It is a SERIOUS OFFENCE if a student: is found to be in possession of any kind of drug and poisons; is found to provide, to supply, to distribute, to offer or to prepare any of the above drugs or poisons to any other parties; is involved in drug abuse of any kind. The term ‘drug’ is as defined in the Dangerous Drug Act 1952. 4. WEAPONS AND DANGEROUS MATERIALS It is a SERIOUS OFFENCE if a student is found to be in: possession or in any supervision of any dangerous weapon or explosive material. Any weapon or dangerous material is as defined in the Explosive Act 1957, Arm Act 1960, and Corrosive and Explosive Substances and Offensive Weapon Act 1958. Please refer to any personnel at APU Immigration  Services Office if you have any doubts about Malaysian Law."
When must I renew my student pass?,VisaOrImmigration, You must apply to renew your student pass three (3) months prior to the expiry of your current student pass
"For renewal of my student pass, what are the documents to be submitted to the APU International Services Office?",VisaOrImmigration," The following documents are required: i. Three (3) clear sets of Full Passport Photocopy (all pages including blank pages and cover page) Passport must have a minimum eighteen (18) months validity. ii. Two (2) passport size photo (with white background) and measurement of 3.5cm x 4.5cm iii. Special Pass payment (RM153) if submission of renewal documents is done less than eight (4) weeks from the expiry date. Click here for passport photo guidelines. In addition, the APU International Services Office will also include your latest attendance and academic reports."
Do I need to submit my original passport when I apply for the renewal of the student pass?,VisaOrImmigration," NOT WHEN YOU APPLY FOR THE NEW STUDENT PASS. You are required to submit your original passport ONLY when you are notified by the Immigration Services Office or 4 weeks before your current student pass expires, whichever comes first."
Can I travel overseas or visit Sabah/Sarawak after submitting my application for renewal?,VisaOrImmigration,"YES, YOU CAN, as long as you have your original passport with you and you complete your travel at least 4 weeks before your current student pass expires. This will allow you to submit your passport to the APU International Services Office within the timeline."
What should I do if I am stopped by a police officer?,VisaOrImmigration,"Please stay calm and listen carefully to the police officer. Seek clarification when needed. Show your original passport, if you are asked to do so. If you already submitted your original passport to the APU International Services Office student pass application, you should produce the original copy of the EMGS Acknowledgement of Receipt – Passport. If the police officer request for the further proof of identity should inform him/her that you are a student APU/APIIT and contact Mr. Ian James, Manager Student’s Welfare at 017-2381 3"
I need to travel overseas and/or return to my home country during the final 4 weeks of my current student pass. What should I do?,VisaOrImmigration,You should immediately seek advice from the APU International Services Office (+603 8992 5237/38/39 or visa@apu.edu.my). You will be required to provide documentary evidence to explain your circumstances.
My current student pass is expiring in less than 8 weeks. What should I do?,VisaOrImmigration,"You should immediately seek advice from the APU International Services Office (+603 8992 5237/38/39 or visa@apu.edu.my). Your renewal application of student pass will be considered as a late application. You may be required to submit a letter of appeal along with the required documents for the renewal of the student pass. You may be asked to provide documentary evidence to explain your circumstances. If your application for the renewal of student pass is rejected by EMGS/ the immigration department of Malaysia. You may be required to take a break in your studies (intermission) and return to your home country. You will be required to apply for a new student pass if this happens. However, your new student pass application is subject to approval by the Malaysian Immigration."
My current student pass has expired. What should I do?,VisaOrImmigration,"You should immediately seek advice from the APU International Services Office (+603 8992 5237/38/39 or visa@apu.edu.my). If you are currently in Malaysia, you have overstayed and will be subject to penalties imposed by the Immigration Department of Malaysia, which include detention and a fine. If you are currently outside Malaysia, do not re-enter Malaysia as a tourist via the social pass. You may be required to apply for a new student pass prior to entering Malaysia."
Do I need to attend medical screening and X-ray when applying for a renewal of student pass?,VisaOrImmigration,"Effective 1 October 2014, all renewal applications will be exempted from medical screening."
What will be the duration/validity of my renewed student pass?,VisaOrImmigration,"Generally, the renewed student pass will be valid for 12 months from the approval by the Immigration Department of Malaysia. However, the approved duration may vary depending on your attendance and academic record."
How much does it cost to renew my student pass?,VisaOrImmigration,"Student Pass Renewal Fees (Effective 2nd June 2015): DURATION Twelve weeks or more prior to expiry (Standard Fees) Renewal (A): RM 930.00 Renewal (B): RM 1,010.00 Renewal (C): RM 1,090.00 Renewal (D): RM 1,260.00 Between eight (8) to twelve weeks prior to expiry Renewal (A): RM 930.00 Renewal (B): RM 1,010.00 Renewal (C): RM 1,090.00 Renewal (D): RM 1,260.00 Between seven (7) to eight (8) weeks prior to expiry Renewal (A): RM 930.00 Renewal (B): RM 1,010.00 Renewal (C): RM 1,090.00 Renewal (D): RM 1,260.00 Less than seven (7) weeks prior to expiry but no later than six (6) weeks prior to expiry Renewal (A): RM 930.00 Renewal (B): RM 1,010.00 Renewal (C): RM 1,090.00 Renewal (D): RM 1,260.00 Seven (7) – 12 Months Renewal Renewal (A): RM 930.00 Renewal (B): RM 1,010.00 Renewal (C): RM 1,090.00 Renewal (D): RM 1,260.00 Three (3) – Six (6) Months Renewal Renewal (A): RM 750.00 Renewal (B): RM 830.00 Renewal (C): RM 910.00 Renewal (D): RM 1,080.00 These fees are effective from 2nd June 2015 and are categorized based on the duration of the renewal process. This information provides a clear understanding of the costs associated with renewing a student pass."
My current passport is expiring soon and I need to get a new one. Do I need to apply for a new student pass?,VisaOrImmigration,"NO, you can apply for a transfer of endorsement (i.e., transferring the student pass sticker from your old passport to the new one)."
How do I monitor the status of my student pass application?,VisaOrImmigration,You can log on to www.educationmalaysia.gov.my and select the ‘Track Application Status’ from the top right corner of the webpage. You should contact the APU International Services Office at +603 8992 5237/38/39 or visa@apu.edu.my if you need further assistance.
What should I do if I intend to withdraw from my studies?,VisaOrImmigration,Please refer to the Cancellation of Student Pass page. You should submit a request for the cancellation of your current student pass before you leave Malaysia. Do contact the APU International Services Office at +603 8992 5237/38/39 or visa@apu.edu.my if you need further assistance.
"I am completing my course this semester, do I need to do anything before I leave?",VisaOrImmigration,You should refer to the Cancellation of the Student Pass page. You should submit a request for the cancellation of your current student pass before you leave Malaysia. Do contact the APU International Services Office at +603 8992 5237/38/39 or visa@apu.edu.my if you need further assistance.
What should I do in the event I lose my passport whilst in Malaysia?,VisaOrImmigration,"You must lodge a report at the nearest police station within 24 hours. You need to apply for a new passport at the relevant Embassy or Consulate in Malaysia. You will be required to produce the police report. After obtaining your new passport, you can apply for a transfer of endorsement (i.e., getting a copy of your current student pass sticker onto your new passport). Do contact the APU International Services Office at +603 8992 5237/38/39 or visa@apu.edu.my if you need further assistance."
What are the New Class Code Structure?,Academic_Administration,This new structure was rolled out in early 2021. The following is a guide to understand new class code for both lecturers and academic administration. Cluster ___ ModuleCode-ClassType ___ ClassStartDate APP___CT042-3-1-IDB-LAB-1___2020-06-14 For example: APP___CT042-3-1-IDB-LAB-1___2020-06-14 APP___AAPP004-4-2-JP-LAB-1___2020-11-14 APP___ AAPP004-4-2-JP-L-1___2020-11-14 APP___ AAPP004-4-2-JP-T1___2020-11-14 :star2: Benefits for Lecturers Automatic Class Code Detection in Attendix (no manual selection required) - Read about here Different Class Code for LAB and Tutorial (no manual selection required) Future report to understand how many class codes have been taught during the year(LAB-16). :star2: Benefits for Academic Administration Automatic Class Code Generation Automatic Class Creation in SIS (no more event list) Automatic Student Enrollment to the Classes Automatic Intake Grouping of the Students Sending Notification to Students
Why cluster code has been added to the class code?,Academic_Administration,"Because the same module being taught at the exact start date can carry the same lecture, tutorial, or lab class number. As so, the cluster is at the beginning of the code to ensure there are no duplicate codes created in GIMS."
Why haven't we added the intakes to the class code?,Academic_Administration,"It seems like you're discussing the structure of class codes and the challenges associated with incorporating intakes into the class code. Here are some considerations and a revised example: Unique Class Codes: It's important that class codes are unique, especially when used across different systems, to avoid confusion. However, as you pointed out, when intakes change, it may lead to changes in the class codes. One possible approach is to include a timestamp or academic year/semester to ensure uniqueness without altering the code too frequently. Short and Manageable Class Codes: Class codes should be short and manageable, especially for modules with a high number of intakes. One way to achieve this is to use abbreviations or acronyms for module names and include intake-related information as a suffix. Here's a revised example using your provided data: Original Intakes: APU2102SE APU2102CT Original Class Code: APP___CT042-3-1-IDB-LAB-1___2020-06-14 Revised Class Codes for Separated Intakes (Week 3 or 4): APP___CT042-3-1-IDB-LAB-1___2020-06-14___CT APP___CT042-3-1-IDB-LAB-1___2020-06-14___SE By including intake information as a suffix, you can distinguish between different intakes while maintaining a stable base class code. The inclusion of the academic year and semester also ensures uniqueness. For the second part of your question, it appears you want to reformat a list of intakes and module codes in a more readable way. Here's the reformatted list: Intakes: UC2F2102BM APD1F2103CE APD1F2103CGD APD1F2103CS APD1F2103CS(CYB) APD1F2103CS(DF) APD1F2103CS(IS) APD1F2103EEE APD1F2103IT APD1F2103ME APD1F2103MMT APD1F2103PE APD1F2103SE APU1F2103CE APU1F2103CGD APU1F2103CS APU1F2103CS(CYB) APU1F2103CS(DF) APU1F2103CS(IS) APU1F2103EEE APU1F2103IT APU1F2103ME APU1F2103MMT APU1F2103PE APU1F2103SE APU1F2103ACS APD1F2103ACS APU1F2103AF APD1F2103AF APU1F2103BAF APD1F2103BAF APU1F2103BAF(FT) APD1F2103BAF(FT) APU1F2103BM APD1F2103BM APU1F2103HRM APU1F2103IBM APD1F2103IBM APU1F2103MKT APD1F2103MKT APU1F2103TRM APD1F2103TRM APU1F2103IR APD1F2103IR APU1F2103MCS APD1F2103MCS APD1F2103TE APU1F2103TE APD1F2103ME Module Code: MPU3173-MLY3(FS)-L-2 I hope this formatting is clearer and more readable for your needs."
Would I like to request a letter that says I am APU student?,Academic_Administration,"Please write to APU Admin Frontliner fliners@apu.edu.my to request for the reference letter. We will then reply you with the requested letter after 3 working days. If you require the hard copy, you may collect your Reference Letter from the Administration Office located at Block D, Level 4, APU Campus Please note that reference letter will not be issued if you have overdue fees."
How to request for Rapid KL/KTM/MRT Concession Card?,Academic_Administration,"Please refer to attached file for the steps in requesting for Rapid KL/KTM/MRT Card reference letter RAPID KL GUIDELINE.pdf 06 Jan 2022, 07:58 AM Upon submission of the online application form, softcopy of the letter will be generated and sent to the provided Email Address within 24 hours. Please note, the Reference Letter will not be issued if you have any overdue fees, invalid or expired student Visa or you are not registered to any active intake.  You may only apply for the reference letter upon the commencement of your intake. Should you require any clarification, please contact Help Centre - Academic Administration at 03-89925250 or email us at fliners@apu.edu.my  and we’ll be happy to assist you."
I have lost my student ID card. Can I request for a new card?,Academic_Administration,"Yes, you can request for a new Student ID card. First, you need to go to Cashier Counter, Level 3 @ APU New Campus, and inform them you have lost your Student ID card and need a new one, request to be invoiced RM50 for new Student ID card and make payment. After you have made payment to the cashier, please take your receipt to Submission Counter Level 4 @ APU New Campus. Inform the staff at Submission Counter, you have lost your Student ID card and show them the payment receipt for a new Student ID card. The staff will provide you a new Student ID Card."
 How to collect my medical insurance card?,Academic_Administration,"Please proceed to Visa Counter Level 3 @ APU New Campus and collect it over there, from Ms. Elizabeth or Ms. Ivy."
I would like to know my fees for the next intake?,Academic_Administration,Please check from the fee statement on APSpace. The fees will appear after you are registered to the next year of study.Please check from the fee statement on APSpace. The fees will appear after you are registered to the next year of study.
 Why is my webspace account locked?,Academic_Administration,"Please check your fee statement on APSpace if you have an outstanding amount. Account is normally automatically locked due to this. If you have made online payment or telegraphic transfer, please send the payment details to bursary@apu.edu. my for payment update."
How to join a club or become a member of a club?,Academic_Administration,Please proceed to Student Services Level 3 @ APU New Campus and meet Ms. Shana or Mr. Illangovan.
I was not able to attend my Orientation. How do I collect my Orientation Pack and Student ID card?,Academic_Administration,"Please proceed to Submission Counter Level 4 @ APU New Campus and inform the staff that you were not able to attend Orientation so, you need to collect Orientation Pack and Student ID card."
"How can I obtain improved internet data for more effective work-from-home communication?""",Academic_Administration,"During the Malaysian government's Movement Control Order (MCO) implemented to mitigate the spread of the Covid-19 virus, many organizations have directed their employees to work from home. Local telecommunications service providers are offering various services to support this initiative. Here are the details for each service provider: Celcom: Post-paid and Celcom Xpax prepaid customers have free unlimited access to WhatsApp (chat, voice & video call) from 8 am to 6 pm daily. Post-paid and Celcom Xpax prepaid customers also have free unlimited access to Microsoft Office 365 applications from 8 am to 6 pm daily. Unlimited Internet access via Celcom Xpax Ultra Hour pass is extended to 6 hours (from 8 am to 6 pm) at only RM2. Celcom post-paid customers benefit from an extended payment period of 7 days for bill payments. Celcom Xpax prepaid customers enjoy 10% cashback for purchases of Celcom Xpax Reloads RM10 and above via the Celcom Life App (valid until 30th June 2020). Celcom MEGA post-paid consumers can trade in their unused Internet quota for cashback (valid until 30th June 2020). U Mobile: U Mobile prepaid customers who renew or activate the GX38 plan between 19 March 2020 and 31 March 2020 can enjoy double hotspot data for 30 days. Post-paid customers on Unlimited HERO P139, Unlimited HERO P99, GX68, and GX50 receive double hotspot data starting from 19 March 2020 until 31 March 2020. Unlimited HERO P139 and P99 customers can also add an S20 data-only share line for just RM20 monthly to share the double hotspot quota. Maxis: Maxis, Maxis Business, and Hotlink post-paid plan users can access a free 3GB Mobile Internet pass starting from 27th March 2020, valid for 30 days. Users can also enjoy free unlimited access to Skype, Zoom, and Microsoft Teams, starting from 27th March 2020, with no data capping. Hotlink Prepaid: Hotlink prepaid customers can obtain 20GB of free data by purchasing the HotlinkMU ‘#StayHome’ Internet pass. Digi: Digi's mobile prepaid and prepaid broadband customers can receive additional Internet data and calls with every reload of RM10 and above. For example, reloading RM10 grants free 300MB and five minutes of calls (valid for three days), while reloading RM30 provides free 1GB and 15 minutes of calls (valid for seven days). These offers are valid until March 31. These measures aim to facilitate remote work and enhance communication during the MCO period."
My name is not in attendance list. What should I do?,Academic_Administration,Please contact your Programme Administrator by writing to admin@apu.edu.my. This is probably due to late registration and your name is not loaded into system with the earlier batch.
"My lecturer did not mark my attendance in the class, although I have attended the class?",Academic_Administration,"Please clarify with your module lecturer on this, to ensure attendance is recorded."
